sensor_id,lat,lon
675_1_458,36.288372,-11.5184067
675_2_456,36.282490,-11.5191666
675_3_452,36.277790,-11.5201172
674_1_454,36.276512,-11.5209366
674_2_463,36.276543,-11.5214813
674_3_450,36.276623,-11.5221367
673_1_451,36.276814,-11.5233810
673_2_460,36.277306,-11.5247292
